id,Client Sent,Server Recived,Model runtime,Server sent,Client Recived
133,2024-05-17 13:56:06.620870,2024-05-17 13:56:06.621486,0.030562639236450195,2024-05-17 13:56:06.657929,2024-05-17 13:56:06.621323
134,2024-05-17 13:56:06.740760,2024-05-17 13:56:06.741409,0.03239703178405762,2024-05-17 13:56:06.779684,2024-05-17 13:56:06.741256
135,2024-05-17 13:56:06.793893,2024-05-17 13:56:06.794655,0.03149914741516113,2024-05-17 13:56:06.832105,2024-05-17 13:56:06.794405
136,2024-05-17 13:56:06.985864,2024-05-17 13:56:06.986581,0.034304141998291016,2024-05-17 13:56:07.026897,2024-05-17 13:56:06.986355
137,2024-05-17 13:56:07.040118,2024-05-17 13:56:07.040778,0.032752275466918945,2024-05-17 13:56:07.079740,2024-05-17 13:56:07.040540
138,2024-05-17 13:56:07.222328,2024-05-17 13:56:07.223217,0.03395843505859375,2024-05-17 13:56:07.263020,2024-05-17 13:56:07.222868
139,2024-05-17 13:56:07.276876,2024-05-17 13:56:07.277371,0.032692909240722656,2024-05-17 13:56:07.316008,2024-05-17 13:56:07.277212
140,2024-05-17 13:56:07.341000,2024-05-17 13:56:07.341730,0.03169608116149902,2024-05-17 13:56:07.379287,2024-05-17 13:56:07.341511
141,2024-05-17 13:56:07.421193,2024-05-17 13:56:07.421883,0.03127098083496094,2024-05-17 13:56:07.458863,2024-05-17 13:56:07.421588
142,2024-05-17 13:56:07.471664,2024-05-17 13:56:07.472295,0.031002044677734375,2024-05-17 13:56:07.509176,2024-05-17 13:56:07.472032
143,2024-05-17 13:56:07.700592,2024-05-17 13:56:07.701236,0.030887603759765625,2024-05-17 13:56:07.737922,2024-05-17 13:56:07.701055
144,2024-05-17 13:56:07.825653,2024-05-17 13:56:07.826424,0.032628536224365234,2024-05-17 13:56:07.864770,2024-05-17 13:56:07.826277
145,2024-05-17 13:56:08.024177,2024-05-17 13:56:08.025098,0.03159666061401367,2024-05-17 13:56:08.062427,2024-05-17 13:56:08.024863
146,2024-05-17 13:56:08.143820,2024-05-17 13:56:08.144691,0.032265424728393555,2024-05-17 13:56:08.182717,2024-05-17 13:56:08.144493
147,2024-05-17 13:56:08.220903,2024-05-17 13:56:08.221740,0.03338146209716797,2024-05-17 13:56:08.261268,2024-05-17 13:56:08.221396
148,2024-05-17 13:56:08.340716,2024-05-17 13:56:08.341577,0.03357410430908203,2024-05-17 13:56:08.381003,2024-05-17 13:56:08.341272
149,2024-05-17 13:56:08.624695,2024-05-17 13:56:08.625408,0.03348040580749512,2024-05-17 13:56:08.665019,2024-05-17 13:56:08.625202
150,2024-05-17 13:56:08.701076,2024-05-17 13:56:08.701884,0.03278779983520508,2024-05-17 13:56:08.740465,2024-05-17 13:56:08.701699
1,2024-05-17 13:56:14.020913,2024-05-17 13:56:14.022158,0.03371095657348633,2024-05-17 13:56:14.061716,2024-05-17 13:56:14.021833
2,2024-05-17 13:56:14.301566,2024-05-17 13:56:14.302648,0.03542017936706543,2024-05-17 13:56:14.344329,2024-05-17 13:56:14.302392
3,2024-05-17 13:56:14.357911,2024-05-17 13:56:14.358607,0.0295562744140625,2024-05-17 13:56:14.394920,2024-05-17 13:56:14.358421
